URL;Edicao
http://www.br-ie.org/pub/index.php/sbie/issue/view/21;2001
http://www.br-ie.org/pub/index.php/sbie/issue/view/22;2002
http://www.br-ie.org/pub/index.php/sbie/issue/view/23;2003
http://www.br-ie.org/pub/index.php/sbie/issue/view/24;2004
http://www.br-ie.org/pub/index.php/sbie/issue/view/25;2005
http://www.br-ie.org/pub/index.php/sbie/issue/view/26;2006
http://www.br-ie.org/pub/index.php/sbie/issue/view/27;2007
http://www.br-ie.org/pub/index.php/sbie/issue/view/28;2008
http://www.br-ie.org/pub/index.php/sbie/issue/view/36;2009
http://www.br-ie.org/pub/index.php/sbie/issue/view/47;2010
http://www.br-ie.org/pub/index.php/sbie/issue/view/48;2011
http://www.br-ie.org/pub/index.php/sbie/issue/view/45;2012
http://www.br-ie.org/pub/index.php/sbie/issue/view/78;2013
